dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
14/12/2020,14,12,2020,746,6,Afghanistan,AF,AFG,38041757,Asia,9.01377925
13/12/2020,13,12,2020,298,9,Afghanistan,AF,AFG,38041757,Asia,7.05277624
12/12/2020,12,12,2020,113,11,Afghanistan,AF,AFG,38041757,Asia,6.86876792
11/12/2020,11,12,2020,63,10,Afghanistan,AF,AFG,38041757,Asia,7.13426564
10/12/2020,10,12,2020,202,16,Afghanistan,AF,AFG,38041757,Asia,6.96865815
09/12/2020,9,12,2020,135,13,Afghanistan,AF,AFG,38041757,Asia,6.96340077
08/12/2020,8,12,2020,200,6,Afghanistan,AF,AFG,38041757,Asia,7.09483529
07/12/2020,7,12,2020,210,26,Afghanistan,AF,AFG,38041757,Asia,7.21575505
06/12/2020,6,12,2020,234,10,Afghanistan,AF,AFG,38041757,Asia,7.32616004
05/12/2020,5,12,2020,235,18,Afghanistan,AF,AFG,38041757,Asia,7.11586481
04/12/2020,4,12,2020,119,5,Afghanistan,AF,AFG,38041757,Asia,7.10797874
03/12/2020,3,12,2020,202,19,Afghanistan,AF,AFG,38041757,Asia,7.53645527
02/12/2020,2,12,2020,400,48,Afghanistan,AF,AFG,38041757,Asia,7.00545982
01/12/2020,1,12,2020,272,11,Afghanistan,AF,AFG,38041757,Asia,6.96077208
30/11/2020,30,11,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,6.41663317
29/11/2020,29,11,2020,228,11,Afghanistan,AF,AFG,38041757,Asia,6.8451097
28/11/2020,28,11,2020,214,15,Afghanistan,AF,AFG,38041757,Asia,6.78464983
27/11/2020,27,11,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,6.39560365
26/11/2020,26,11,2020,200,12,Afghanistan,AF,AFG,38041757,Asia,7.34193218
25/11/2020,25,11,2020,185,13,Afghanistan,AF,AFG,38041757,Asia,7.1999829
24/11/2020,24,11,2020,246,17,Afghanistan,AF,AFG,38041757,Asia,6.71367519
23/11/2020,23,11,2020,252,8,Afghanistan,AF,AFG,38041757,Asia,6.655844
22/11/2020,22,11,2020,154,12,Afghanistan,AF,AFG,38041757,Asia,6.20370926
21/11/2020,21,11,2020,232,25,Afghanistan,AF,AFG,38041757,Asia,6.13010593
20/11/2020,20,11,2020,282,5,Afghanistan,AF,AFG,38041757,Asia,5.6727138
19/11/2020,19,11,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,5.03657073
18/11/2020,18,11,2020,383,13,Afghanistan,AF,AFG,38041757,Asia,5.35464227
17/11/2020,17,11,2020,65,6,Afghanistan,AF,AFG,38041757,Asia,4.57392123
16/11/2020,16,11,2020,163,9,Afghanistan,AF,AFG,38041757,Asia,4.65278194
15/11/2020,15,11,2020,205,12,Afghanistan,AF,AFG,38041757,Asia,4.57129254
14/11/2020,14,11,2020,66,10,Afghanistan,AF,AFG,38041757,Asia,4.23219148
13/11/2020,13,11,2020,360,14,Afghanistan,AF,AFG,38041757,Asia,4.47140231
12/11/2020,12,11,2020,146,4,Afghanistan,AF,AFG,38041757,Asia,3.84840269
11/11/2020,11,11,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,3.4646139
10/11/2020,10,11,2020,224,12,Afghanistan,AF,AFG,38041757,Asia,3.76165591
09/11/2020,9,11,2020,80,3,Afghanistan,AF,AFG,38041757,Asia,3.69593865
08/11/2020,8,11,2020,126,6,Afghanistan,AF,AFG,38041757,Asia,3.65650829
07/11/2020,7,11,2020,58,2,Afghanistan,AF,AFG,38041757,Asia,3.53821723
06/11/2020,6,11,2020,40,0,Afghanistan,AF,AFG,38041757,Asia,3.5461033
05/11/2020,5,11,2020,121,6,Afghanistan,AF,AFG,38041757,Asia,3.74588377
04/11/2020,4,11,2020,86,4,Afghanistan,AF,AFG,38041757,Asia,3.78268543
03/11/2020,3,11,2020,95,3,Afghanistan,AF,AFG,38041757,Asia,3.78794281
02/11/2020,2,11,2020,132,5,Afghanistan,AF,AFG,38041757,Asia,3.76691329
01/11/2020,1,11,2020,76,0,Afghanistan,AF,AFG,38041757,Asia,3.57501889
31/10/2020,31,10,2020,157,4,Afghanistan,AF,AFG,38041757,Asia,3.55398937
30/10/2020,30,10,2020,123,3,Afghanistan,AF,AFG,38041757,Asia,3.26483343
29/10/2020,29,10,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,2.94150452
28/10/2020,28,10,2020,113,7,Afghanistan,AF,AFG,38041757,Asia,3.02562261
27/10/2020,27,10,2020,199,8,Afghanistan,AF,AFG,38041757,Asia,2.90207416
